gender,player_id,player_name,birth_date,first_match_date,last_match_date,earliest_age_years,appearances,reason
F,200095,Linda Wild,1971-02-11,1972-08-01,2000-08-22,1.470256,441,match_before_tenth_birthday
F,200287,Miki Yokobori,1975-05-13,1973-12-10,1995-11-13,-1.420974,158,match_before_tenth_birthday
F,200382,Isabelle Villiger,1962-11-24,1972-04-10,1985-10-28,9.377331,109,match_before_tenth_birthday
F,200535,Jo Anne Faull,1971-01-13,1970-01-05,1995-01-16,-1.021239,262,match_before_tenth_birthday
F,203726,Laura Falconieri,1967-05-22,1974-06-03,1974-06-03,7.033683,1,match_before_tenth_birthday
F,203824,Tonia Bayley,1974-09-23,1983-06-20,1995-04-03,8.739399,58,match_before_tenth_birthday
F,203887,Lara De Angelis,1981-03-18,1983-08-30,1983-08-30,2.450427,1,match_before_tenth_birthday
F,205863,Veronika Birioukova,1990-09-20,1974-03-18,2012-07-23,-16.509579,20,match_before_tenth_birthday
F,206329,Montserrat Gonzalez,1994-07-01,2003-09-22,2021-06-07,9.226747,371,match_before_tenth_birthday
F,208506,Laura Hernandez,1986-08-18,1994-04-12,2003-09-29,7.649712,2,match_before_tenth_birthday
F,213882,Lena Reichel,1997-05-17,1968-04-22,2015-05-04,-29.068359,27,match_before_tenth_birthday
F,223077,Stephanie Johnson,1971-12-07,1970-07-27,2001-07-16,-1.363478,32,match_before_tenth_birthday
F,223659,Heather Allen,1964-06-20,1968-04-08,1972-03-27,3.800215,25,match_before_tenth_birthday
M,100583,Jeff Robbins,1959-03-01,1968-08-29,1980-09-08,9.497799,18,match_before_tenth_birthday
M,100626,Andy Garcia,1959-09-29,1968-04-08,1985-04-29,8.525842,8,match_before_tenth_birthday
M,100716,Norm Schellenger,1961-01-12,1970-04-15,1986-09-22,9.254126,17,match_before_tenth_birthday
M,100740,Dan Cassidy,1961-04-29,1969-01-29,1991-04-29,7.753753,154,match_before_tenth_birthday
M,101014,John Ross,1964-02-29,1970-01-26,1991-07-15,5.908403,113,match_before_tenth_birthday
M,101060,Peter Smith,1964-08-15,1973-11-19,1973-11-19,9.262339,1,match_before_tenth_birthday
M,101307,Jeff Brown,1966-11-15,1973-07-09,1973-07-09,6.647638,1,match_before_tenth_birthday
M,101495,Miguel Tobon,2006-06-19,1988-12-05,2026-06-01,-17.536294,442,match_before_tenth_birthday
M,101906,Yasufumi Yamamoto,1971-05-03,1979-04-30,2001-03-12,7.991951,350,match_before_tenth_birthday
M,102060,Ignacio Martinez,1999-01-13,1991-05-06,2023-03-13,-7.690781,100,match_before_tenth_birthday
M,102093,Martin Damm,2003-09-30,1999-05-31,2026-06-01,-4.334107,357,match_before_tenth_birthday
M,102648,Gareth Williams,1975-08-27,1984-05-14,1999-07-19,8.714758,73,match_before_tenth_birthday
M,102688,Jason Smith,1975-11-22,1975-12-21,2000-08-21,0.079399,7,match_before_tenth_birthday
M,102740,Francisco Rodriguez,1976-03-09,1981-07-13,2006-05-15,5.344394,281,match_before_tenth_birthday
M,102754,Paulo Wildmann,1976-03-20,1981-07-27,1984-01-23,5.352608,11,match_before_tenth_birthday
